iter	Passed	Remaining
0	6	6351
1	11	5757
2	16	5466
3	21	5286
4	28	5607
5	32	5425
6	37	5292
7	41	5206
8	46	5141
9	51	5126
10	56	5067
11	61	5048
12	65	4999
13	70	4965
14	76	5046
15	81	5009
16	86	4979
17	91	4983
18	97	5013
19	102	5044
20	107	5029
21	112	5002
22	117	4971
23	124	5059
24	129	5031
25	133	5011
26	138	4978
27	143	4968
28	149	4996
29	153	4973
30	158	4969
31	163	4944
32	167	4917
33	172	4910
34	177	4896
35	182	4880
36	186	4865
37	192	4864
38	197	4857
39	203	4886
40	208	4871
41	212	4848
42	217	4834
43	223	4861
44	234	4984
45	242	5022
46	247	5008
47	252	5002
48	256	4982
49	261	4963
50	267	4980
51	272	4967
52	277	4950
53	281	4935
54	287	4946
55	292	4935
56	297	4916
57	301	4903
58	307	4898
59	314	4920
60	318	4906
61	321	4866
62	325	4837
63	329	4824
64	336	4844
65	339	4807
66	344	4796
67	349	4785
68	353	4771
69	360	4792
70	364	4763
71	369	4758
72	372	4733
73	376	4717
74	381	4704
75	386	4694
76	388	4659
77	393	4646
78	397	4636
79	402	4625
80	406	4615
81	411	4609
82	415	4586
83	418	4562
84	422	4542
85	424	4516
86	429	4506
87	432	4481
88	437	4481
89	444	4497
90	454	4540
91	461	4556
92	467	4558
93	475	4587
94	483	4608
95	486	4580
96	489	4554
97	491	4527
98	495	4506
99	497	4477
100	500	4452
101	502	4427
102	507	4421
103	510	4401
104	513	4378
105	518	4370
106	522	4363
107	525	4342
108	528	4318
109	531	4297
110	533	4275
111	536	4253
112	539	4232
113	544	4228
114	548	4221
115	551	4200
116	555	4194
117	558	4176
118	561	4155
119	565	4148
120	570	4145
121	573	4129
122	576	4110
123	581	4105
124	583	4085
125	586	4066
126	589	4049
127	593	4045
128	596	4027
129	598	4008
130	601	3991
131	606	3988
132	608	3969
133	614	3974
134	617	3958
135	622	3957
136	627	3952
137	629	3934
138	632	3919
139	636	3908
140	639	3893
141	641	3877
142	644	3862
143	647	3848
144	649	3832
145	652	3818
146	655	3804
147	658	3789
148	660	3774
149	663	3760
150	666	3745
151	672	3752
152	675	3737
153	677	3723
154	682	3719
155	685	3707
156	689	3704
157	694	3701
158	699	3698
159	704	3696
160	706	3682
161	710	3674
162	714	3671
163	717	3659
164	722	3655
165	724	3642
166	727	3630
167	730	3617
168	733	3605
169	735	3593
170	738	3580
171	741	3567
172	743	3555
173	747	3546
174	749	3535
175	754	3532
176	757	3520
177	759	3508
178	762	3497
179	767	3495
180	770	3484
181	772	3472
182	775	3460
183	777	3449
184	780	3439
185	783	3429
186	786	3417
187	788	3406
188	791	3395
189	794	3387
190	797	3377
191	799	3365
192	802	3355
193	805	3346
194	808	3336
195	813	3336
196	816	3326
197	818	3315
198	821	3308
199	824	3297
200	827	3288
201	829	3278
202	832	3270
203	835	3260
204	839	3257
205	842	3247
206	846	3244
207	849	3236
208	854	3234
209	857	3225
210	860	3216
211	862	3207
212	865	3198
213	868	3189
