iter	MultiClass
0	-1.882709225
1	-1.824205437
2	-1.773156901
3	-1.722331375
4	-1.675770259
5	-1.632778852
6	-1.598492807
7	-1.559445033
8	-1.52903928
9	-1.495833498
10	-1.463881666
11	-1.439123392
12	-1.408283805
13	-1.3815784
14	-1.357309716
15	-1.331393495
16	-1.309567379
17	-1.286223386
18	-1.267079866
19	-1.248539239
20	-1.230272009
21	-1.210557837
22	-1.194747279
23	-1.180138408
24	-1.165701337
25	-1.152502274
26	-1.137839459
27	-1.124905288
28	-1.110876087
29	-1.097958981
30	-1.086994911
31	-1.071342722
32	-1.061705241
33	-1.048497697
34	-1.035800635
35	-1.023945702
36	-1.012097388
37	-1.000580524
38	-0.9918923213
39	-0.9842970889
40	-0.9743357247
41	-0.9662704855
42	-0.9581598075
43	-0.9506334224
44	-0.9424734681
45	-0.934923318
46	-0.9278901361
47	-0.9196925537
48	-0.9098542102
49	-0.9045132393
50	-0.8972536979
51	-0.8906241206
52	-0.8836777284
53	-0.8776381527
54	-0.8721279287
55	-0.8640611803
56	-0.8588684135
57	-0.8519036444
58	-0.8479263311
59	-0.842660929
60	-0.8361890659
61	-0.8315363772
62	-0.8270275276
63	-0.8213184456
64	-0.8146151289
65	-0.8097529668
66	-0.8051585402
67	-0.8009011755
68	-0.7959743739
69	-0.7904407951
70	-0.7869468995
71	-0.7822284681
72	-0.7778580008
73	-0.7725873685
74	-0.7660659586
75	-0.759538913
76	-0.7558669647
77	-0.7516602173
78	-0.7472698622
79	-0.7432062268
80	-0.7397391421
81	-0.7367804066
82	-0.7332347028
83	-0.7288365086
84	-0.7229911782
85	-0.7180763689
86	-0.7138173851
87	-0.7111606264
88	-0.7068015692
89	-0.7034737688
90	-0.7005667305
91	-0.6949504186
92	-0.6922029212
93	-0.6894153126
94	-0.6851160752
95	-0.6803497877
96	-0.6753230445
97	-0.6721679088
98	-0.6692944863
99	-0.6670951318
100	-0.6632431761
101	-0.6594101358
102	-0.6570632635
103	-0.6548313659
104	-0.6517470195
105	-0.6488600113
106	-0.6458233472
107	-0.6414673634
108	-0.6382456806
109	-0.6363066552
110	-0.6318791249
111	-0.6298966157
112	-0.6265751395
113	-0.6235535783
114	-0.6216890619
115	-0.6194708934
116	-0.6177758347
117	-0.615989783
118	-0.6141540171
119	-0.6116246122
120	-0.6087635613
121	-0.6052886551
122	-0.6023476615
123	-0.6006572836
124	-0.599080164
125	-0.59534696
126	-0.5911887751
127	-0.5891295093
128	-0.5871023393
129	-0.5838293109
130	-0.5816655471
131	-0.5791965009
132	-0.577438707
133	-0.5761641967
134	-0.5736842197
135	-0.5719011772
136	-0.5703811511
137	-0.5684669991
138	-0.5670893769
139	-0.5656337133
140	-0.5644179984
141	-0.5606827578
142	-0.5592440142
143	-0.5580314162
144	-0.556706561
145	-0.5550402301
146	-0.5535404789
147	-0.551690932
148	-0.54900935
149	-0.5467503583
150	-0.5449448015
151	-0.5430592118
152	-0.5408869991
153	-0.5388720594
154	-0.5364565196
155	-0.5344934545
156	-0.5325466516
157	-0.5311119016
158	-0.5288539099
159	-0.5278475432
160	-0.5253921685
161	-0.5244923282
162	-0.5232497051
163	-0.5209171053
164	-0.5194811268
165	-0.518026998
166	-0.5169528248
167	-0.5161088643
168	-0.5138609068
169	-0.5126810931
170	-0.5110198404
171	-0.5088286815
172	-0.5070507938
173	-0.5055041772
174	-0.5038910766
175	-0.5021039134
176	-0.5011574429
177	-0.4989579568
178	-0.4977372755
179	-0.4965486785
180	-0.4948355018
181	-0.4932727173
182	-0.4919624026
183	-0.4904047994
184	-0.4889735083
185	-0.4868725166
186	-0.4861462384
187	-0.4846847747
188	-0.4826619929
189	-0.4805327629
190	-0.4793593944
191	-0.4785815147
192	-0.4775404351
193	-0.476641865
194	-0.4752448346
195	-0.4741781334
196	-0.4729404929
197	-0.471726311
198	-0.470745487
199	-0.4685554539
200	-0.4677882073
201	-0.4648038674
202	-0.4632633812
203	-0.4623159715
204	-0.4609632266
205	-0.459651622
206	-0.4579338609
207	-0.4565870275
208	-0.4551734717
209	-0.4540982685
210	-0.4533312654
211	-0.4519805592
212	-0.4512263206
213	-0.4501888334
214	-0.4490529548
215	-0.447144828
216	-0.4465993635
217	-0.4453845178
218	-0.4445191672
219	-0.4436811224
220	-0.4420227953
221	-0.4414809776
222	-0.4405260093
223	-0.4397861954
224	-0.4392208739
225	-0.4377151247
226	-0.4367481176
227	-0.4361047755
228	-0.4349727259
229	-0.4334569846
230	-0.4326209988
231	-0.4318542893
232	-0.4310762792
233	-0.4294894683
234	-0.4287005741
235	-0.4271050532
236	-0.4265328881
237	-0.4256107438
238	-0.4244542632
239	-0.4236176881
240	-0.4225715968
241	-0.4213695841
242	-0.4206027444
243	-0.4197922199
244	-0.4184742353
245	-0.4170262677
246	-0.4160210642
247	-0.4152170711
248	-0.4147015563
249	-0.413441052
250	-0.4125541374
251	-0.4117691735
252	-0.4111357553
253	-0.4106007888
254	-0.4094875129
255	-0.4085614996
256	-0.4080000587
257	-0.406998623
258	-0.4059887084
259	-0.4047488826
260	-0.4035852696
261	-0.4032070098
262	-0.4018705527
263	-0.4010331288
264	-0.399669745
265	-0.3987452142
266	-0.3976573436
267	-0.3960987698
268	-0.3952468412
269	-0.394119584
270	-0.393587899
271	-0.3926382542
272	-0.3908592898
273	-0.3903094949
274	-0.3894394771
275	-0.3886363391
276	-0.3875342157
277	-0.3860227893
278	-0.3846554721
279	-0.3834270968
280	-0.3828971215
281	-0.3816217713
282	-0.3800553043
283	-0.3792517455
284	-0.3781831966
285	-0.376882217
286	-0.3763804455
287	-0.3755458421
288	-0.3747881628
289	-0.3741408216
290	-0.3734988067
291	-0.3724631315
292	-0.3713571825
293	-0.3706319612
294	-0.3695474819
295	-0.3689216098
296	-0.3679270061
297	-0.3672256097
298	-0.3662795733
299	-0.3645661584
300	-0.3635652649
301	-0.3628420023
302	-0.3620076344
303	-0.3608090508
304	-0.3595581352
305	-0.3589738834
306	-0.3584938558
307	-0.3577599112
308	-0.357273368
309	-0.3563970908
310	-0.355699942
311	-0.3551364412
312	-0.3541697682
313	-0.3534884419
314	-0.3528126261
315	-0.3521353199
316	-0.3515401283
317	-0.3506681263
318	-0.3499436001
319	-0.3489800177
320	-0.3485324816
321	-0.3473900731
322	-0.3466720371
323	-0.3454101177
324	-0.3445225767
325	-0.3439958995
326	-0.3434228683
327	-0.3429104975
328	-0.3422809778
329	-0.3412236037
330	-0.3403991179
331	-0.3397268198
332	-0.3389309993
333	-0.3382017154
334	-0.3374638954
335	-0.3368794402
336	-0.3362428818
337	-0.3356266391
338	-0.3348736868
339	-0.3341561874
340	-0.3334820487
341	-0.3327047232
342	-0.3316219204
343	-0.3309230346
344	-0.3298170416
345	-0.3293443915
346	-0.3289320885
347	-0.3284997743
348	-0.3273814476
349	-0.3267975142
350	-0.3261544181
351	-0.3250664323
352	-0.3245408499
353	-0.3241373664
354	-0.3236845402
355	-0.3231669063
356	-0.3224608414
357	-0.3217925616
358	-0.3210544599
359	-0.3205925895
360	-0.3199167805
361	-0.3193595691
362	-0.318914355
363	-0.3176067854
364	-0.3167311082
365	-0.3163143711
366	-0.3156821711
367	-0.3147470626
368	-0.3141951508
369	-0.3127197182
370	-0.3117102595
371	-0.3112992357
372	-0.3105242085
373	-0.3099983561
374	-0.3095689024
375	-0.3087692537
376	-0.3079446834
377	-0.3071797575
378	-0.3064113231
379	-0.3061370255
380	-0.3055573781
381	-0.3050400042
382	-0.3042918372
383	-0.3036662687
384	-0.3028242976
385	-0.3021447603
386	-0.3015039849
387	-0.3005280419
388	-0.2994995356
389	-0.2987750037
390	-0.298197781
391	-0.2973099328
392	-0.2968410905
393	-0.296385916
394	-0.2956382345
395	-0.2951854254
396	-0.2947907019
397	-0.2941734973
398	-0.2936607429
399	-0.2930495174
400	-0.2923729444
401	-0.2918549103
402	-0.2912146968
403	-0.2906646307
404	-0.2902308714
405	-0.2895309653
406	-0.2891086812
407	-0.2886457216
408	-0.2882512803
409	-0.2877888329
410	-0.2870356767
411	-0.2865504439
412	-0.2860921704
413	-0.2855872263
414	-0.2849040549
415	-0.2843118305
416	-0.2835412288
417	-0.2829666682
418	-0.2822321722
419	-0.2814229255
420	-0.2805757503
421	-0.2800393329
422	-0.279754287
423	-0.2791157595
424	-0.2784475071
425	-0.2779020754
426	-0.2768970589
427	-0.2763695418
428	-0.2758063736
429	-0.2754061678
430	-0.2747002687
431	-0.2739673306
432	-0.2733440529
433	-0.2729074511
434	-0.2725625988
435	-0.2719588656
436	-0.2714578683
437	-0.2708995186
438	-0.2703229701
439	-0.2698663363
440	-0.2691633092
441	-0.2684854774
442	-0.2682148778
443	-0.2678036713
444	-0.2671886871
445	-0.2666402835
446	-0.2660975989
447	-0.2657019673
448	-0.2652961295
449	-0.2649564918
450	-0.264392447
451	-0.2638937543
452	-0.2631382066
453	-0.2624586048
454	-0.2620385707
455	-0.2615768907
456	-0.2610854304
457	-0.2606817892
458	-0.2600094797
459	-0.2596337361
460	-0.2586773727
461	-0.2577522494
462	-0.2570354887
463	-0.2567987488
464	-0.2563846575
465	-0.2559100943
466	-0.2555652323
467	-0.2550380518
468	-0.2543254346
469	-0.2539658041
470	-0.2535763042
471	-0.253207829
472	-0.2528047167
473	-0.2520996526
474	-0.2515055704
475	-0.250636209
476	-0.2499188032
477	-0.2496509783
478	-0.2493359433
479	-0.2489918449
480	-0.2485125073
481	-0.2479834201
482	-0.2477011701
483	-0.2469031892
484	-0.2464675383
485	-0.2459632194
486	-0.245656405
487	-0.2454142992
488	-0.2451365459
489	-0.2447055047
490	-0.2443767283
491	-0.2437654777
492	-0.2431867611
493	-0.2428448206
494	-0.2424019825
495	-0.2420597637
496	-0.2414291493
497	-0.2410826195
498	-0.240599624
499	-0.2402382399
500	-0.2399317752
501	-0.2397336029
502	-0.2394355727
503	-0.2388976196
504	-0.2386820562
505	-0.2384183996
506	-0.2379039575
507	-0.2374603928
508	-0.2369980639
509	-0.2366074502
510	-0.2364060925
511	-0.2359691459
512	-0.2357275644
513	-0.2354716196
514	-0.2350940902
515	-0.2346235866
516	-0.2343052212
517	-0.2340113461
518	-0.2336488486
519	-0.2333172712
520	-0.2329306621
521	-0.2324187237
522	-0.2320181222
523	-0.2316233878
524	-0.2311020528
525	-0.230836501
526	-0.23035746
527	-0.2301439363
528	-0.2298430365
529	-0.2295250236
530	-0.2292576039
531	-0.2289986201
532	-0.2287021425
533	-0.2282682041
534	-0.2277960241
535	-0.2276135174
536	-0.2273165886
537	-0.2269713599
538	-0.226547082
539	-0.2257187358
540	-0.2254030126
541	-0.2250868816
542	-0.2248626205
543	-0.2245008391
544	-0.2242363208
545	-0.2239201466
546	-0.223554544
547	-0.2234065818
548	-0.2232113188
549	-0.222665888
550	-0.2222667487
551	-0.2220199785
552	-0.221759184
553	-0.2214273065
554	-0.2210781991
555	-0.2206402582
556	-0.2202270307
557	-0.2199104531
558	-0.2195485637
559	-0.2193566515
560	-0.2190072983
561	-0.2184030234
562	-0.2179014946
563	-0.2176689004
564	-0.2170597101
565	-0.2167244912
566	-0.2163643286
567	-0.2161404326
568	-0.215899558
569	-0.2154753919
570	-0.2152430741
571	-0.214911851
572	-0.2142710775
573	-0.2138376394
574	-0.2134948371
575	-0.2130563442
576	-0.2127062573
577	-0.2122456923
578	-0.2119081359
579	-0.2114564921
580	-0.2111849131
581	-0.2108057837
582	-0.210529975
583	-0.2102356594
584	-0.2100971859
585	-0.2096846535
586	-0.2093330498
587	-0.2089806082
588	-0.2088059478
589	-0.2085057114
590	-0.2080034361
591	-0.2074466638
592	-0.2069507801
593	-0.206616932
594	-0.2063529792
595	-0.2060496352
596	-0.2057724346
597	-0.2053696097
598	-0.2050668622
599	-0.2048009357
600	-0.2045761228
601	-0.2043031448
602	-0.203898201
603	-0.2033523627
604	-0.2030298665
605	-0.2027888633
606	-0.2023633587
607	-0.2021862135
608	-0.2018935461
609	-0.2014313917
610	-0.2011833018
611	-0.2006601435
612	-0.2003804874
613	-0.200107359
614	-0.1996198583
615	-0.1994470689
616	-0.1991123421
617	-0.1986984236
618	-0.1984306876
619	-0.1980956012
620	-0.1976098085
621	-0.1972258093
622	-0.1967111618
623	-0.1964422267
624	-0.196215871
625	-0.1959858675
626	-0.1955991982
627	-0.1952829287
628	-0.1949757965
629	-0.1945031796
630	-0.194192601
631	-0.1939506901
632	-0.1936101238
633	-0.1933148422
634	-0.19311613
635	-0.1926986781
636	-0.1921444822
637	-0.1915686149
638	-0.1910808966
639	-0.1907305488
640	-0.190424229
641	-0.1899455387
642	-0.1895123956
643	-0.1892078116
644	-0.1889102599
645	-0.1885539602
646	-0.1883940216
647	-0.1879599895
648	-0.1877626854
649	-0.1874112992
650	-0.1869436663
651	-0.1868052091
652	-0.1865928585
653	-0.1862824855
654	-0.1860502873
655	-0.1856951746
656	-0.1855323126
657	-0.185320632
658	-0.1849896454
659	-0.1846605647
660	-0.1842598914
661	-0.1840045843
662	-0.1835647525
663	-0.183272058
664	-0.1827742667
665	-0.182577343
666	-0.1822690252
667	-0.1820523184
668	-0.1818016656
669	-0.181527138
670	-0.1813305267
671	-0.1810704144
672	-0.1808626898
673	-0.1806390168
674	-0.1804423444
675	-0.180055859
676	-0.179878051
677	-0.179567329
678	-0.1790193775
679	-0.1786337586
680	-0.1783140089
681	-0.1780605059
682	-0.1778643113
683	-0.1776610611
684	-0.1773606264
685	-0.1771598202
686	-0.1769370389
687	-0.1766757383
688	-0.1764826015
689	-0.1763177363
690	-0.1760903001
691	-0.1756793266
692	-0.1754873662
693	-0.1752497094
694	-0.175026938
695	-0.1746010711
696	-0.1742936799
697	-0.1740830682
698	-0.1736121765
699	-0.1734483735
700	-0.173288302
701	-0.173098903
702	-0.1729148249
703	-0.1727713646
704	-0.1723204886
705	-0.1721847162
706	-0.1720234554
707	-0.1717692279
708	-0.1713574367
709	-0.171134686
710	-0.1709176463
711	-0.1707714235
712	-0.1705993749
713	-0.170468343
714	-0.1701938699
715	-0.1699182926
716	-0.1697830519
