iter	Passed	Remaining
0	264	263870
1	354	176708
2	442	146965
3	548	136545
4	653	129984
5	752	124601
6	843	119666
7	948	117612
8	1032	113736
9	1119	110815
10	1207	108529
11	1286	105950
12	1370	104015
13	1450	102167
14	1547	101616
15	1690	103948
16	1803	104309
17	1897	103508
18	1981	102328
19	2067	101331
20	2152	100370
21	2253	100162
22	2363	100389
23	2468	100384
24	2562	99927
25	2646	99127
26	2728	98321
27	2808	97504
28	2902	97193
29	2984	96501
30	3074	96110
31	3164	95740
32	3248	95190
33	3334	94729
34	3426	94474
35	3514	94106
36	3598	93654
37	3682	93219
38	3776	93047
39	3867	92820
40	3956	92535
41	4039	92129
42	4121	91716
43	4204	91355
44	4289	91026
45	4378	90801
46	4460	90451
47	4545	90150
48	4632	89913
49	4712	89541
50	4800	89331
51	4885	89070
52	4973	88857
53	5053	88523
54	5137	88265
55	5224	88067
56	5309	87833
57	5391	87568
58	5482	87442
59	5570	87263
60	5660	87130
61	5744	86905
62	5825	86636
63	5909	86426
64	5994	86221
65	6076	85998
66	6159	85772
67	6244	85584
68	6333	85461
69	6416	85251
70	6510	85180
71	6600	85076
72	6696	85030
73	6791	84984
74	6899	85097
75	7008	85205
76	7091	85006
77	7179	84870
78	7273	84793
79	7358	84617
80	7459	84628
81	7546	84489
82	7639	84405
83	7726	84257
84	7812	84097
85	7900	83961
86	7988	83834
87	8077	83707
88	8180	83737
89	8268	83608
90	8360	83518
91	8471	83607
92	8556	83447
93	8645	83323
94	8724	83115
95	8817	83028
96	8908	82927
97	8996	82803
98	9077	82611
99	9161	82455
100	9241	82258
101	9329	82140
102	9413	81978
103	9491	81772
104	9578	81641
105	9665	81520
106	9756	81425
107	9845	81319
108	9934	81211
109	10077	81532
110	10166	81420
111	10257	81324
112	10342	81186
113	10426	81035
114	10504	80840
115	10595	80748
116	10677	80580
117	10766	80477
118	10853	80354
119	10939	80223
120	11025	80092
121	11108	79945
122	11196	79833
123	11290	79763
124	11368	79580
125	11458	79485
126	11548	79387
127	11636	79276
128	11720	79135
129	11859	79364
130	11944	79238
131	12030	79107
132	12111	78949
133	12201	78852
134	12285	78716
135	12366	78564
136	12450	78426
137	12537	78316
138	12618	78160
139	12701	78024
140	12781	77867
141	12869	77761
142	12957	77651
143	13043	77538
144	13130	77424
145	13219	77326
146	13308	77228
147	13394	77108
148	13476	76969
149	13557	76824
150	13640	76691
151	13727	76583
152	13817	76490
153	13897	76344
154	13991	76275
155	14122	76404
156	14207	76286
157	14295	76181
158	14395	76143
159	14484	76044
160	14574	75951
161	14669	75880
162	14760	75797
163	14864	75771
164	14954	75680
165	15051	75618
166	15133	75487
167	15218	75365
168	15304	75254
169	15392	75150
170	15478	75040
171	15573	74969
172	15653	74830
173	15744	74738
174	15845	74698
175	15927	74569
176	16015	74467
177	16098	74344
178	16188	74250
179	16269	74116
180	16349	73980
181	16438	73882
182	16525	73777
183	16606	73645
184	16689	73524
185	16779	73434
186	16858	73293
187	16944	73185
188	17035	73098
189	17124	73003
190	17210	72898
191	17294	72782
192	17385	72695
193	17476	72610
194	17561	72498
195	17650	72404
196	17737	72301
197	17819	72176
198	17925	72151
199	18012	72048
200	18097	71940
201	18201	71904
202	18291	71814
203	18391	71763
204	18520	71825
205	18622	71779
206	18749	71827
207	18846	71761
208	18948	71715
209	19071	71744
210	19215	71853
211	19316	71800
212	19417	71745
213	19520	71697
214	19617	71626
215	19726	71600
216	19818	71511
217	19907	71412
218	20002	71333
219	20099	71261
220	20201	71209
221	20289	71103
222	20372	70982
223	20451	70851
224	20534	70731
225	20620	70620
226	20702	70497
227	20785	70380
228	20872	70273
229	20961	70174
230	21058	70104
231	21136	69970
232	21215	69838
233	21306	69745
234	21390	69631
235	21476	69526
236	21562	69419
237	21642	69291
238	21725	69176
239	21810	69066
240	21908	68999
241	21995	68894
242	22092	68824
243	22194	68765
244	22296	68710
245	22389	68625
246	22486	68552
247	22583	68477
248	22686	68424
249	22784	68354
250	22867	68238
251	22954	68134
252	23049	68054
253	23135	67947
254	23242	67904
255	23337	67824
256	23427	67728
257	23512	67621
258	23606	67538
259	23689	67424
260	23782	67337
261	23877	67257
262	23986	67216
263	24099	67187
264	24200	67121
265	24293	67036
266	24391	66963
267	24491	66893
268	24599	66849
269	24679	66726
270	24767	66625
271	24856	66528
272	24940	66416
273	25023	66303
274	25105	66187
275	25184	66063
276	25264	65943
277	25352	65844
278	25431	65720
279	25517	65615
280	25625	65567
281	25704	65445
282	25783	65324
283	25868	65218
284	25948	65097
285	26031	64987
286	26115	64879
287	26205	64786
288	26293	64688
289	26376	64577
290	26458	64463
291	26540	64351
292	26625	64245
293	26708	64136
294	26791	64027
295	26875	63919
296	26963	63822
297	27047	63716
298	27131	63609
299	27219	63513
300	27309	63418
301	27389	63303
302	27472	63196
303	27560	63098
304	27645	62995
305	27726	62883
306	27804	62764
307	27883	62647
308	27967	62542
309	28048	62429
310	28130	62321
311	28212	62211
312	28294	62103
313	28383	62009
314	28469	61909
315	28545	61788
316	28625	61676
317	28705	61563
318	28787	61454
319	28874	61357
320	28952	61242
321	29029	61124
322	29111	61016
323	29190	60904
324	29272	60796
325	29362	60707
326	29446	60604
327	29537	60516
328	29620	60410
329	29714	60329
330	29809	60250
331	29898	60157
332	29989	60069
333	30069	59958
334	30150	59850
335	30235	59750
336	30313	59638
337	30399	59539
338	30481	59434
339	30565	59332
340	30652	59237
341	30738	59139
342	30821	59036
343	30904	58935
344	30986	58829
345	31062	58713
346	31148	58616
347	31235	58521
348	31320	58423
349	31397	58309
350	31479	58204
351	31564	58106
352	31648	58006
353	31727	57898
354	31828	57828
355	31911	57727
356	31994	57626
357	32078	57526
